Id,Predicted
4146,"[ 405  624 2382 2584 3113 3237 3348 3501 3660 3810 3978 4095 4442 4525
 4883 4965 5302 5484 5892 5987 6298 6770 6991 7024 7285 7456 7727 7778
 8399 8468 8509 8637 9031 9058 9185 9248 9522 9762]"
4147,"[ 405  624  772 2131 2584 3113 3348 3501 3660 3810 3978 4095 4442 4525
 4883 4965 5302 5484 5892 5987 6038 6770 6991 7285 7456 7727 7778 8399
 8468 8509 8637 8917 9031 9058 9185 9248 9522 9762]"
4148,"[ 405  624  772 2131 2584 3113 3348 3501 3660 3810 3978 4095 4442 4525
 4965 5302 5484 5892 5987 6038 6770 6991 7285 7456 7727 7778 8399 8468
 8509 8637 8917 9031 9058 9185 9248 9522 9762]"
4149,[3660]
4150,[3660]
4151,[3660]
4152,[]
4153,[]
4154,[]
4155,[ 405  624 2131 2584 3348 3660 5302 6991 7727 7778 8637 9522 9762]
4156,"[ 405  624 2131 2584 3348 3532 3660 4525 5302 5484 6038 6991 7727 7778
 8637 9522 9762]"
4157,"[ 405  624 2131 2584 3348 3660 4525 5302 5484 5892 6991 7727 7778 8468
 8637 8840 9185 9248 9522 9762]"
4158,"[ 405  624 2584 3237 3348 3660 4442 4525 4965 5302 5484 5892 6038 6770
 6991 7727 7778 8399 8468 8637 9185 9248 9762]"
4159,[2584 3348 3660 6991 7727 7778 8637 9762]
4160,[ 405  624 2584 3348 3660 4525 5302 6991 7778 8637 9762]
4161,[ 405  624 2584 3660 4525 5302 5484 6991 7727 7778 8399 8637 9762]
4162,[ 405 2584 3348 3660 4525 5484 6991 7778 8468 8637 9185 9762]
4163,"[ 405  624 2131 2584 3113 3348 3660 4525 5302 6991 7727 7778 8399 8637
 9522 9762]"
4164,"[ 405  624 2131 2584 3113 3348 3660 4525 5302 5484 6991 7727 7778 8399
 8509 8637 9058 9185 9522 9762]"
4165,"[ 405  624 2131 2584 3348 3660 3810 4525 5302 5484 5892 6991 7727 7778
 8399 8637 9185 9248 9522 9762]"
4166,"[ 405  624 2584 3660 3810 4525 4965 5302 5484 5892 6991 7727 7778 8399
 8637 9185 9248 9762]"
4167,"[ 405  624 2131 2584 3348 3660 3978 4525 5302 5484 5892 6991 7727 7778
 8399 8637 9058 9185 9248 9762]"
4168,[ 405 2131 2584 3348 3660 5484 6991 7727 7778 8637 9522 9762]
4169,[]
4170,[]
4171,[]
4172,[]
4173,[]
4174,[]
4175,[]
4176,[]
4177,[]
4178,"[ 405  624 2106 2131 2584 3348 3660 4525 5302 6038 6765 6991 7727 7778
 8637 9185 9522 9762]"
4179,"[ 405  624 2106 2131 2584 3348 3660 4525 5302 6038 6765 6991 7727 7778
 8637 9185 9522 9762]"
4180,[ 405 3660 4525 8637 9762]
4181,"[ 405  624  772 1355 1881 2106 2131 2226 2382 2502 2584 2973 3113 3348
 3493 3501 3532 3644 3660 3810 3978 4095 4442 4525 4739 4967 5020 5302
 5484 5544 5892 5987 6038 6298 6664 6755 6765 6770 6991 7024 7285 7456
 7727 7778 8147 8399 8468 8509 8585 8637 8917 9031 9058 9185 9522 9762]"
4182,"[ 321  405  624  772 1052 1355 1758 1881 2106 2131 2226 2382 2502 2584
 2749 2973 3113 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3833
 3978 4095 4442 4525 4883 4965 4967 5020 5271 5284 5302 5484 5520 5544
 5892 5987 6038 6049 6298 6588 6765 6770 6991 7024 7285 7456 7518 7727
 7778 8147 8399 8468 8509 8585 8637 8840 8917 8951 9031 9058 9185 9248
 9522 9762]"
4183,"[ 405  624  772 1052 1355 1758 1881 2106 2131 2226 2382 2502 2584 3113
 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3833 3978 4095 4442
 4525 4883 4965 4967 5020 5284 5302 5484 5544 5892 5987 6038 6049 6298
 6765 6770 6991 7024 7285 7456 7727 7778 8147 8399 8468 8509 8585 8637
 8840 8917 9031 9058 9185 9248 9522 9747 9762]"
4184,"[ 405  624  772 1052 1355 1758 1881 2106 2131 2226 2382 2502 2584 3113
 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3833 3978 4095 4442
 4525 4883 4965 4967 5030 5271 5284 5302 5484 5520 5544 5878 5892 5987
 6038 6049 6298 6664 6765 6770 6991 7024 7285 7456 7518 7727 7778 8147
 8399 8468 8509 8585 8637 8840 8917 9031 9058 9185 9248 9522 9747 9762]"
4185,"[ 405  624  772 1052 1355 1758 1881 2106 2131 2226 2382 2502 2584 3113
 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3833 3978 4095 4442
 4525 4883 4965 4967 5271 5284 5302 5484 5520 5544 5878 5892 5987 6038
 6049 6298 6664 6765 6770 6991 7024 7285 7456 7518 7727 7778 8147 8399
 8468 8509 8585 8637 8840 8917 9031 9058 9185 9248 9522 9747 9762]"
4186,"[ 405  624  772 1052 1355 1758 1881 2106 2131 2226 2382 2502 2584 3113
 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3833 3978 4095 4442
 4525 4883 4965 4967 5271 5284 5302 5484 5520 5544 5878 5892 5987 6038
 6049 6298 6664 6765 6770 6991 7024 7285 7456 7518 7727 7778 8147 8399
 8468 8509 8585 8637 8840 8917 9031 9058 9185 9248 9522 9747 9762]"
4187,"[ 405  624  772 1052 1355 1758 1881 2106 2131 2226 2382 2502 2584 3113
 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3833 3978 4095 4442
 4525 4883 4965 4967 5271 5284 5302 5484 5520 5544 5878 5892 5987 6038
 6049 6298 6664 6765 6770 6991 7024 7285 7456 7518 7727 7778 8147 8399
 8468 8509 8585 8637 8840 8917 9031 9058 9185 9248 9522 9747 9762]"
4188,"[ 405  624  772 1052 1355 1758 1881 2106 2131 2226 2382 2502 2584 3113
 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3833 3978 4095 4442
 4525 4883 4965 4967 5271 5284 5302 5484 5520 5544 5878 5892 5987 6038
 6049 6298 6664 6765 6770 6991 7024 7285 7456 7518 7727 7778 8147 8399
 8468 8509 8585 8637 8840 8917 9031 9058 9185 9248 9522 9747 9762]"
4189,"[ 405  624  772 1355 1881 2106 2131 2226 2382 2502 2584 2973 3113 3348
 3493 3501 3532 3644 3660 3810 3978 4095 4442 4525 4739 4967 5020 5302
 5484 5544 5892 5987 6038 6298 6664 6755 6765 6770 6991 7024 7285 7456
 7727 7778 8147 8399 8468 8509 8585 8637 8917 9031 9058 9185 9522 9762]"
4190,"[ 321  405  624  772 1052 1355 1758 1881 2106 2131 2226 2382 2502 2584
 2749 2973 3113 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3833
 3978 4095 4442 4525 4883 4965 4967 5020 5271 5284 5302 5484 5520 5544
 5892 5987 6038 6049 6298 6588 6765 6770 6991 7024 7285 7456 7518 7727
 7778 8147 8399 8468 8509 8585 8637 8840 8917 8951 9031 9058 9185 9248
 9522 9762]"
4191,"[ 405  624  772 1052 1355 1758 1881 2106 2131 2226 2382 2502 2584 3113
 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3833 3978 4095 4442
 4525 4883 4965 4967 5030 5271 5284 5302 5484 5520 5544 5878 5892 5987
 6038 6049 6298 6664 6765 6770 6991 7024 7285 7456 7518 7727 7778 8147
 8399 8468 8509 8585 8637 8840 8917 9031 9058 9185 9248 9522 9747 9762]"
4192,"[ 321  405  624  772 1170 1308 1355 2106 2131 2226 2502 2584 2973 3113
 3348 3501 3532 3643 3644 3660 3757 3810 3978 4095 4213 4525 4697 4739
 5020 5271 5302 5484 5544 5843 5892 5987 6038 6664 6755 6770 6991 7024
 7285 7727 7778 8147 8305 8399 8509 8585 8637 8840 9031 9058 9170 9185
 9248 9522 9570 9747 9762]"
4193,"[ 321  405  624  772 1170 1308 1355 2106 2131 2226 2502 2584 2973 3113
 3348 3501 3532 3643 3644 3660 3757 3810 3978 4095 4213 4525 4697 4739
 5020 5271 5302 5484 5544 5843 5892 5987 6038 6664 6755 6770 6991 7024
 7285 7727 7778 8147 8305 8399 8509 8585 8637 8840 9031 9058 9170 9185
 9248 9522 9570 9747 9762]"
4194,"[ 405  624  772 2106 2131 2226 2584 3113 3348 3501 3532 3660 3810 3978
 4095 4442 4525 5302 5484 5892 6038 6755 6991 7727 7778 8399 8637 8840
 9058 9185 9522 9762]"
4195,"[ 405  624  772 2131 2382 2584 3348 3660 3810 3978 4095 4442 4525 4965
 5302 5484 5892 6038 6298 6991 7456 7727 7778 8399 8468 8637 8840 9058
 9185 9248 9522 9762]"
4196,"[ 405  624  772 2131 2584 3113 3348 3493 3532 3660 3810 3978 4095 4442
 4525 4965 5020 5302 5484 5892 6038 6298 6991 7456 7727 7778 8399 8468
 8637 8840 9058 9185 9248 9522 9762]"
4197,"[ 405  624  772 2131 2584 3113 3348 3532 3660 3810 3978 4095 4442 4525
 4965 5302 5484 5892 6038 6991 7456 7727 7778 8399 8637 8840 9031 9058
 9185 9248 9522 9762]"
4198,"[ 405  624  772 2131 2584 3113 3348 3532 3660 3810 3978 4095 4442 4525
 4965 5302 5484 5892 6038 6991 7456 7727 7778 8399 8468 8637 8840 9058
 9185 9248 9522 9762]"
4199,"[ 405  624  772 2131 2584 3113 3348 3532 3660 3810 3978 4095 4442 4525
 4965 5302 5484 5892 6038 6991 7456 7727 7778 8399 8468 8637 8840 9058
 9185 9248 9522 9762]"
4200,"[ 405  624  772 2131 2584 3113 3348 3532 3660 3810 3978 4095 4442 4525
 4965 5302 5484 5892 6038 6991 7456 7727 7778 8399 8468 8637 8840 9058
 9185 9248 9522 9762]"
4201,"[ 405  624  772 2131 2584 3113 3348 3532 3660 3810 3978 4095 4442 4525
 4965 5302 5484 5892 6038 6991 7456 7727 7778 8399 8468 8637 8840 9058
 9185 9248 9522 9762]"
4202,"[ 405  624  772 2131 2584 3113 3348 3493 3532 3660 3810 3978 4095 4442
 4525 4965 5020 5302 5484 5892 6038 6298 6991 7456 7727 7778 8399 8468
 8637 8840 9058 9185 9248 9522 9762]"
4203,"[ 321  405  439  624  772 1052 1355 1881 2106 2131 2226 2382 2502 2584
 2973 3113 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3978 4095
 4213 4442 4525 4739 4965 5020 5165 5271 5284 5302 5447 5484 5520 5544
 5843 5878 5892 5987 6038 6049 6298 6664 6755 6765 6770 6971 6991 7024
 7054 7285 7456 7727 7778 8147 8399 8468 8509 8519 8637 8840 8999 9031
 9058 9185 9248 9522 9747 9762]"
4204,"[ 321  405  439  624  772 1052 1119 1170 1355 1758 1881 2106 2131 2226
 2382 2501 2584 2973 3113 3237 3348 3421 3493 3501 3532 3643 3644 3660
 3810 3978 4095 4213 4291 4442 4525 4883 4965 4967 4989 5020 5271 5284
 5302 5484 5520 5544 5878 5892 5926 5987 6038 6049 6137 6298 6755 6765
 6770 6971 6991 7024 7054 7285 7456 7727 7778 8147 8399 8468 8509 8637
 8840 8917 8999 9031 9058 9185 9248 9522 9747 9762]"
4205,"[ 321  405  439  624  772 1052 1119 1170 1355 1881 2106 2131 2226 2352
 2382 2501 2584 2932 3113 3237 3348 3421 3493 3501 3532 3643 3644 3660
 3810 3978 4095 4213 4291 4442 4525 4883 4965 4967 5020 5271 5284 5302
 5484 5520 5544 5679 5878 5892 5987 6038 6049 6298 6755 6765 6770 6971
 6991 7024 7054 7285 7456 7727 7778 8147 8399 8468 8509 8637 8840 8917
 8999 9031 9058 9185 9248 9522 9747 9762]"
4206,"[ 405  439  624  772 1052 1170 1355 1881 2106 2131 2226 2382 2501 2584
 2932 2973 3113 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3978
 4095 4213 4291 4442 4525 4883 4965 4967 5020 5271 5284 5302 5484 5520
 5544 5878 5892 5987 6038 6049 6298 6755 6770 6971 6991 7024 7285 7456
 7727 7778 8147 8399 8468 8509 8637 8840 8917 9031 9058 9185 9248 9522
 9747 9762]"
4207,"[ 405  439  624  772 1052 1355 1881 2106 2131 2226 2352 2382 2501 2584
 2932 2973 3113 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3978
 4095 4213 4442 4525 4883 4965 4967 5020 5271 5284 5302 5484 5520 5544
 5878 5892 5987 6038 6049 6298 6755 6765 6770 6971 6991 7024 7285 7456
 7727 7778 8147 8399 8468 8509 8637 8840 8917 9031 9058 9185 9248 9522
 9747 9762]"
4208,"[ 405  439  624  772 1052 1355 1881 2106 2131 2226 2352 2382 2501 2584
 2932 2973 3113 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3978
 4095 4213 4442 4525 4883 4965 4967 5020 5271 5284 5302 5484 5520 5544
 5878 5892 5987 6038 6049 6298 6755 6765 6770 6971 6991 7024 7285 7456
 7727 7778 8147 8399 8468 8509 8637 8840 8917 9031 9058 9185 9248 9522
 9747 9762]"
4209,"[ 321  405  439  624  772 1052 1355 1881 2106 2131 2226 2382 2502 2584
 2973 3113 3237 3348 3421 3493 3501 3532 3643 3644 3660 3810 3978 4095
 4213 4442 4525 4739 4965 5020 5165 5271 5284 5302 5447 5484 5520 5544
 5843 5878 5892 5987 6038 6049 6298 6664 6755 6765 6770 6971 6991 7024
 7054 7285 7456 7727 7778 8147 8399 8468 8509 8519 8637 8840 8999 9031
 9058 9185 9248 9522 9747 9762]"
4210,"[ 321  405  439  624  772 1052 1119 1170 1355 1758 1881 2106 2131 2226
 2382 2501 2584 2973 3113 3237 3348 3421 3493 3501 3532 3643 3644 3660
 3810 3978 4095 4213 4291 4442 4525 4883 4965 4967 4989 5020 5271 5284
 5302 5484 5520 5544 5878 5892 5926 5987 6038 6049 6137 6298 6755 6765
 6770 6971 6991 7024 7054 7285 7456 7727 7778 8147 8399 8468 8509 8637
 8840 8917 8999 9031 9058 9185 9248 9522 9747 9762]"
4211,[]
4212,[ 405 2131 2584 2973 3348 3660 5302 5484 6991 7727 7778 8637 9185 9762]
4213,"[ 405  624 2131 2584 2973 3348 3660 4525 5302 5484 6038 6991 7727 7778
 8147 8399 8637 9185 9522 9762]"
4214,"[ 405  624 2131 2584 3348 3660 4525 5302 5484 6991 7727 7778 8399 8509
 8637 9185 9762]"
4215,"[ 405  624 2584 3348 3660 4525 5302 5484 6991 7727 7778 8399 8468 8509
 8637 9185 9248 9762]"
4216,"[ 405  624 2584 3348 3660 3978 4095 4442 4525 4965 5302 5484 5892 6991
 7727 7778 8399 8468 8509 8637 9185 9248 9762]"
4217,"[ 405  624 2584 3348 3660 3978 4095 4442 4525 5302 5484 5892 6038 6991
 7727 7778 8399 8468 8509 8637 9185 9248 9762]"
4218,"[ 405  624 2584 3348 3660 3978 4095 4442 4525 5302 5484 5892 6038 6991
 7727 7778 8399 8468 8509 8637 9185 9248 9762]"
4219,"[ 405  624 2584 3348 3660 3978 4095 4442 4525 5302 5484 5892 6038 6991
 7727 7778 8399 8468 8509 8637 9185 9248 9762]"
4220,[ 405 2131 2584 2973 3348 3660 5302 5484 6991 7727 7778 8637 9185 9762]
4221,"[ 405  624 2131 2584 2973 3348 3660 4525 5302 5484 6038 6991 7727 7778
 8147 8399 8637 9185 9522 9762]"
4222,"[ 405  624 2131 2584 3348 3660 4525 5302 5484 6991 7727 7778 8399 8509
 8637 9185 9762]"
4223,"[ 405  624 2584 3348 3660 3978 4095 4442 4525 4965 5302 5484 5892 6991
 7727 7778 8399 8468 8509 8637 9185 9248 9762]"
4224,"[ 405  624 2584 3348 3660 3978 4095 4442 4525 5302 5484 5892 6038 6991
 7727 7778 8399 8468 8509 8637 9185 9248 9762]"
4225,"[ 405  624 2584 3348 3660 3978 4095 4442 4525 5302 5484 5892 6038 6991
 7727 7778 8399 8468 8509 8637 9185 9248 9762]"
4226,"[ 405  624 2131 2584 3348 3660 4525 5302 5484 6991 7727 7778 8399 8509
 8637 9185 9762]"
4227,"[ 405  624 2584 3348 3660 4525 5302 5484 6991 7727 7778 8399 8468 8509
 8637 9185 9248 9762]"
4228,[ 624 2584 3348 3660 5302 7778 8637 9762]
4229,[2584 3348 3660 7727 7778 8637]
4230,[ 624 2584 3348 3660 5302 7778 8637 9762]
4231,[ 405 2584 3660 4525 7727 7778 8637 9185 9762]
4232,[ 405 2584 3660 4525 6991 7778 8637 9185 9762]
4233,[ 405 2584 3660 3978 4525 6991 7778 8637 9185 9762]
4234,[ 405 2584 3660 3978 4525 6991 7778 8637 9185 9762]
4235,"[ 321  405 2131 2584 3113 3348 3660 4525 5302 5484 6991 7727 7778 8399
 8637 9185 9522 9762]"
4236,"[ 321  405 2131 2584 3113 3348 3660 4525 5302 5484 6991 7727 7778 8399
 8637 9185 9522 9762]"
4237,[]
4238,[]
4239,[]
4240,[]
4241,[]
4242,[]
4243,[]
4244,"[ 121  155  321  405  624  772 1170 1758 2106 2131 2226 2502 2584 2932
 2973 3113 3348 3501 3532 3644 3660 3810 4095 4525 4543 4697 4821 5020
 5271 5302 5484 5843 5892 5987 6038 6298 6755 6756 6765 6770 6991 7285
 7315 7456 7727 7778 8147 8305 8399 8637 8840 9031 9058 9170 9185 9522
 9570 9747 9762]"
4245,"[ 321  405  624 1170 2131 2584 3113 3348 3660 4525 5302 5484 6038 6991
 7727 7778 8399 8637 9058 9185 9522 9747 9762]"
4246,"[ 405  624 2131 2584 3113 3348 3501 3660 3810 4095 4525 5302 5484 5892
 6038 6991 7727 7778 8147 8399 8509 8637 8840 9058 9185 9522 9762]"
4247,"[ 405  439  624 2131 2584 3113 3348 3501 3660 3810 4095 4525 5302 5484
 5892 6038 6991 7727 7778 8399 8509 8637 8840 9031 9058 9185 9522 9762]"
4248,"[ 405  624 2131 2382 2584 3237 3348 3501 3660 3810 3978 4095 4525 4965
 5302 5484 5892 6298 6991 7285 7727 7778 8399 8468 8509 8637 8840 8917
 9031 9058 9185 9248 9522 9762]"
4249,"[ 405  439  624  772 2131 2382 2584 2932 3113 3237 3348 3501 3660 3810
 3978 4095 4442 4525 4883 4965 5302 5484 5892 6038 6298 6770 6991 7285
 7456 7727 7778 8399 8468 8509 8637 8840 8917 9031 9058 9185 9248 9522
 9747 9762]"
4250,"[ 405  439  624 2131 2382 2584 2932 3113 3237 3348 3501 3660 3810 3978
 4095 4442 4525 4883 4965 5302 5484 5892 6038 6298 6770 6991 7285 7456
 7727 7778 8399 8468 8509 8637 8840 8917 9031 9058 9185 9248 9522 9747
 9762]"
4251,"[ 405  624 2131 2584 3348 3660 4525 5302 5484 5892 6038 6759 6991 7727
 7778 8147 8399 8468 8637 9058 9185 9522 9762]"
4252,"[ 121  155  321  405  439  624  772 1170 2106 2131 2226 2382 2502 2584
 2932 2973 3113 3348 3501 3532 3644 3660 3810 4442 4525 4697 4821 5020
 5271 5302 5484 5892 5987 6038 6298 6755 6765 6770 6991 7024 7285 7727
 7778 8147 8305 8399 8509 8637 8840 9031 9058 9170 9185 9248 9522 9747
 9762]"
4253,"[ 405  624 1355 2131 2584 3113 3237 3348 3643 3660 3757 3810 4057 4213
 4525 5020 5302 5484 5843 6038 6770 6991 6993 7024 7456 7727 7778 8147
 8399 8519 8585 8637 8999 9058 9170 9185 9522 9570 9747 9762]"
4254,"[ 321  405  624 1170 2131 2584 2932 2973 3113 3348 3660 4525 5271 5302
 5484 5987 6765 6991 7727 7778 8399 8637 9031 9058 9185 9522 9762]"
4255,[ 405 2584 3660 4525 7727 7778 8637 9762]
4256,[ 405 2584 3660 4525 7727 7778 8637 9762]
4257,"[ 405  624 3348 3660 3810 4525 4965 5302 5892 6759 6770 6991 7727 7778
 8468 8637 8840 9031 9058 9185 9248 9762]"
4258,"[ 405  439  624 2106 2131 2226 2584 2973 3113 3348 3493 3501 3532 3660
 3833 3978 4525 5271 5302 5484 5520 5544 5892 6298 6755 6765 6991 7285
 7727 7778 8399 8509 8585 8637 8840 8917 9031 9058 9185 9522 9747 9762]"
4259,"[ 405  439  624 2106 2131 2226 2584 2973 3113 3348 3493 3501 3532 3660
 3833 3978 4525 5271 5302 5484 5520 5544 5892 6298 6755 6765 6991 7285
 7727 7778 8399 8509 8585 8637 8840 8917 9031 9058 9185 9522 9747 9762]"
4260,"[ 321  405  624 1170 2131 2584 2973 3113 3348 3660 4057 4525 5020 5302
 5447 5484 5878 6038 6755 6779 6991 6993 7727 7778 8147 8399 8468 8637
 8768 8840 8917 9170 9185 9522 9747 9762]"
4261,"[ 405  624 1052 2106 2131 2584 2973 3113 3237 3348 3501 3532 3660 3810
 3833 3978 4442 4525 4739 5020 5302 5484 5520 5878 5892 6038 6755 6759
 6770 6991 7285 7727 7778 8147 8399 8468 8509 8519 8637 8840 8917 9031
 9058 9185 9248 9522 9747 9762]"
4262,"[ 405  624 2584 3237 3348 3532 3660 3810 3833 3978 4442 4525 4965 5302
 5484 5878 5892 6770 6991 7285 7727 7778 8399 8468 8637 8840 8917 9185
 9248 9522 9762]"
4263,"[ 405  624 2584 3237 3348 3660 3833 3978 4442 4525 5302 5484 5878 5892
 6038 6770 6991 7456 7727 7778 8399 8468 8637 8840 8917 9058 9185 9248
 9522 9747 9762]"
4264,[ 624 1170 2584 3660 4057 5447 7727 9185 9747]
4265,[ 405  624 2584 3660 5447 6991 7300 7727 9185 9747 9762]
4266,"[ 405  624 2584 2627 2932 3660 3978 4291 4525 4883 4965 5284 5447 5520
 5892 6991 7456 7568 8468 8917 9185 9248 9747 9762]"
4267,"[ 405  624 2584 2627 2932 3660 3978 4291 4525 4883 4965 5030 5284 5447
 5520 5892 6991 7301 7456 7568 8468 8840 8917 9185 9248 9747 9762]"
4268,"[ 624 1170 2584 3348 3660 4057 5284 5447 5544 6779 6991 6993 7727 7778
 8917 9185 9522 9747 9762]"
4269,"[ 405  624 2106 2584 3348 3660 4057 4525 5447 5544 6991 7727 7778 8468
 8840 8917 9185 9522 9747 9762]"
4270,"[ 405  624 2584 3660 4057 4525 4965 5284 5447 5544 5892 6991 7456 7568
 7727 7778 8468 8840 8917 9185 9248 9747 9762]"
4271,"[ 405  624 2584 3348 3660 4057 4965 5284 5447 5544 6991 7456 7568 7727
 7778 8468 8840 8917 9185 9248 9747 9762]"
4272,[ 405 2131 2584 3348 3660 5484 6991 7727 7778 8637 9185 9747 9762]
4273,"[ 405  624 2584 3348 3660 4525 5302 5484 6991 7727 7778 8637 8840 9185
 9762]"
4274,"[ 405  624 2584 3660 3978 4442 4525 4965 5302 5484 5892 6991 7727 7778
 8468 8637 8840 8917 9185 9248 9762]"
4275,"[ 405  624 2584 3348 3660 3978 4442 4525 4965 5302 5484 5878 5892 6038
 6770 6991 7456 7778 8468 8637 8840 8917 9185 9248 9747 9762]"
4276,[3348 3660 5484 7778 8637 9762]
4277,[ 405  624 2584 3660 4525 5302 5484 6759 7778 8637 9762]
4278,[ 405  624 3660 4525 5302 5484 7778 8637 8840 9185 9762]
4279,"[ 405 2584 3660 4442 4525 5302 5484 5892 6038 6991 7778 8468 8637 8840
 9185 9248 9762]"
4280,"[ 405  624 2382 2584 3348 3501 3660 3810 4095 4442 4525 4965 5302 5484
 5892 5987 6038 6759 6991 7285 7727 7778 8399 8468 8509 8637 8917 9031
 9058 9185 9248 9522 9747 9762]"
4281,[]
4282,"[ 405  624 2584 3348 3660 4525 5302 5484 6991 7727 7778 8468 8637 9185
 9762]"
4283,[]
4284,[]
4285,[ 405 3660 4525 6991 7778 8637 9185 9762]
4286,[ 405 3660 4525 6991 7778 8637 9185 9762]
4287,[ 405 3660 4525 5302 6038 6991 7778 8637 9185 9762]
4288,[ 405 3660 4525 5302 5484 6038 6991 7778 8637 9185 9762]
4289,"[ 405  624  772 2131 2584 3660 3978 4525 5302 5484 5892 6038 6770 6991
 7727 7778 8399 8637 8840 9185 9762]"
4290,"[ 405  772 2584 3660 3978 4525 5302 5484 5892 6038 6770 6991 7727 7778
 8637 8840 9185 9762]"
4291,"[ 405  624 2584 3348 3660 3810 3978 4095 4525 5302 5484 5892 6991 7727
 7778 8399 8637 9058 9185 9762]"
4292,"[ 405  624 2584 3660 3978 4525 4965 5302 5484 5892 6991 7727 7778 8399
 8637 8840 9185 9248 9762]"
4293,"[ 405  624 2584 3660 3978 4525 4965 5302 5484 5892 6991 7727 7778 8399
 8637 8840 9185 9248 9762]"
4294,[ 405 3660 4525 6991 7778 8637 9762]
4295,[ 405 3660 4525 6991 7778 8637 9762]
4296,[ 405 3660 4525 6991 7778 8637 9762]
4297,[ 405 3660 4525 6991 7778 8637 9762]
4298,"[ 405  624 2584 3348 3660 4525 5484 5892 6991 7727 7778 8399 8468 8637
 9185 9248 9762]"
4299,"[ 405  624 2131 2584 3348 3660 4525 5302 6991 7727 7778 8637 8840 9185
 9522 9762]"
4300,"[ 405  624 2131 2584 3348 3660 4525 5302 6991 7727 7778 8637 8840 9185
 9522 9762]"
4301,"[ 405  624 2131 2584 3348 3660 4525 5302 6991 7727 7778 8637 8840 9185
 9522 9762]"
4302,"[ 405  624  772 2584 3348 3660 3978 4525 5302 5892 6991 7727 7778 8399
 8468 8637 8840 9185 9248 9762]"
4303,"[ 405  624 2131 2584 3113 3348 3660 4525 5302 5484 6038 6770 6991 7727
 7778 8147 8399 8637 8840 9058 9185 9248 9522 9762]"
4304,"[ 405  624 2131 2584 3113 3348 3660 4525 5302 5484 6991 7727 7778 8637
 9185 9522 9762]"
4305,"[ 405  624 2131 2584 3113 3348 3660 4525 5302 5484 6991 7727 7778 8637
 9185 9522 9762]"
4306,"[ 405  624 2584 3348 3660 3810 3978 4095 4525 5302 5484 5878 5892 6038
 6770 6991 7727 7778 8399 8468 8637 8917 9185 9248 9747 9762]"
4307,"[ 405  624 2584 3348 3660 3810 3978 4095 4525 5302 5484 5878 5892 6038
 6770 6991 7727 7778 8399 8468 8637 8917 9185 9248 9747 9762]"
4308,"[ 405  624 2131 2584 3113 3348 3660 4525 5302 5484 6038 6770 6991 7727
 7778 8147 8399 8637 8840 9058 9185 9248 9522 9762]"
4309,"[ 405  624 2584 3660 4525 4965 5302 5484 5892 6038 6991 7727 7778 8399
 8637 9185 9762]"
4310,"[ 405  624 2584 3348 3660 4525 5302 5484 5892 6038 6991 7727 7778 8399
 8637 9185 9762]"
4311,"[ 405  624 2584 3348 3660 4525 5302 5484 5892 6038 6991 7727 7778 8399
 8637 9185 9762]"
4312,"[ 405  624 2584 3348 3660 4525 5302 5484 5892 6038 6991 7727 7778 8399
 8637 9185 9762]"
4313,[ 624 3660 4525 7778 8637 9762]
4314,[ 624 3660 4525 7778 8637 9762]
4315,[ 405 3660 4525 5892 6991 7778 8637 9185 9762]
4316,"[ 405  624 2584 3237 3660 4442 4525 4965 5302 5484 5892 6038 6770 6991
 7456 7727 7778 8399 8468 8637 8917 9185 9248 9762]"
4317,"[ 405  624 2584 3237 3660 4442 4525 4965 5302 5484 5892 6038 6770 6991
 7456 7727 7778 8399 8468 8637 8917 9185 9248 9762]"
4318,"[ 405  624 2584 3237 3660 4442 4525 4965 5302 5484 5892 6038 6770 6991
 7456 7727 7778 8399 8468 8637 8917 9185 9248 9762]"
4319,"[ 321  405  624 1170 2131 2584 3113 3348 3660 4525 5020 5302 5484 5878
 6038 6991 7727 7778 8399 8637 9031 9058 9185 9522 9747 9762]"
4320,"[ 321  405  624 2131 2584 3113 3348 3660 4525 5020 5271 5302 5484 5892
 6038 6770 6991 7727 7778 8147 8399 8509 8637 8840 9058 9185 9248 9522
 9762]"
4321,"[ 405  439  624  772 2106 2131 2584 3113 3348 3501 3532 3660 3810 3978
 4095 4525 4739 5020 5302 5484 5892 6038 6755 6770 6991 7727 7778 8399
 8509 8637 8840 9031 9058 9185 9248 9522 9762]"
4322,"[ 405  439  624 2131 2584 3113 3348 3501 3660 3810 3978 4095 4442 4525
 4965 5020 5302 5484 5892 6038 6298 6770 6991 7024 7285 7727 7778 8399
 8468 8509 8637 8840 9031 9058 9185 9248 9522 9762]"
